YEAR,STRATUM,AOU,SPECIES,POP,SEPOP
1955,1,1320,Mallard,891.46,4842.15
1955,1,1350,Gadwall,0,0
1955,1,1370,American wigeon,0,2050.3
1955,1,1390,Green-winged teal,656.13,2267.17
1955,1,1400,Blue-winged teal,0,0
1955,1,1420,Northern shoveler,0,1069.27
1955,1,1430,Northern pintail,3281.39,3574.68
1955,1,1460,Redhead,0,39.83
1955,1,1470,Canvasback,0,2173.12
1955,1,1499,Generic scaup,1592.3,6200.26
1955,1,1500,Ring-necked duck,0,790.77
1955,1,1519,Generic goldeneye,853.95,2822.91
1955,1,1530,Bufflehead,185.45,634.8
1955,1,1670,Ruddy duck,0,168.94
1955,1,1720,Canada goose,0,8745.23
1955,1,2210,American coot,0,0
1955,2,1320,Mallard,4481.92,6747.75
1955,2,1350,Gadwall,0,221.91
1955,2,1370,American wigeon,0,11438.96
1955,2,1390,Green-winged teal,0,6564.28
1955,2,1400,Blue-winged teal,0,388.89
1955,2,1420,Northern shoveler,0,2599.96
1955,2,1430,Northern pintail,4267.46,4160.94
1955,2,1460,Redhead,0,172.5
1955,2,1470,Canvasback,0,916.38
1955,2,1499,Generic scaup,17622.67,15590.86
1955,2,1500,Ring-necked duck,0,2277.76
1955,2,1519,Generic goldeneye,1240.7,4547.86
1955,2,1530,Bufflehead,1784.96,4190.19
1955,2,1670,Ruddy duck,0,0
1955,2,1720,Canada goose,630.82,2378.55
1955,2,2210,American coot,0,0
1955,3,1320,Mallard,56027.39,28741.27
1955,3,1350,Gadwall,59.48,443.29
1955,3,1370,American wigeon,15049.56,21915.92
1955,3,1390,Green-winged teal,9546.61,21778.15
1955,3,1400,Blue-winged teal,0,1120.6
1955,3,1420,Northern shoveler,1337.96,18932.42
1955,3,1430,Northern pintail,63889.4,40678.89
1955,3,1460,Redhead,0,1950.59
1955,3,1470,Canvasback,10947.81,14628.84
1955,3,1499,Generic scaup,123357.01,65077.62
1955,3,1500,Ring-necked duck,110.33,4266.77
1955,3,1519,Generic goldeneye,9272.96,9492.34
1955,3,1530,Bufflehead,16548.14,8447.88
1955,3,1670,Ruddy duck,0,206.89
1955,3,1720,Canada goose,12179.7,12792.79
1955,3,2210,American coot,0,0
1955,4,1320,Mallard,30065.75,41984.97
1955,4,1350,Gadwall,409.33,501.86
1955,4,1370,American wigeon,10405.03,68244.83
1955,4,1390,Green-winged teal,0,41264.3
1955,4,1400,Blue-winged teal,0,2414.42
1955,4,1420,Northern shoveler,0,37811.37
1955,4,1430,Northern pintail,106639.13,100203.29
1955,4,1460,Redhead,0,2773.33
1955,4,1470,Canvasback,23810.29,37130.84
1955,4,1499,Generic scaup,110738.95,101972.63
1955,4,1500,Ring-necked duck,0,4529.98
1955,4,1519,Generic goldeneye,0,10586.8
1955,4,1530,Bufflehead,3783.06,8811.5
1955,4,1670,Ruddy duck,0,0
1955,4,1720,Canada goose,31198.71,80770.46
1955,4,2210,American coot,80.58,1587.04
1955,5,1320,Mallard,12637.7,7354.19
1955,5,1350,Gadwall,0,241.49
1955,5,1370,American wigeon,2487.85,14027.43
1955,5,1390,Green-winged teal,0,11770.11
1955,5,1400,Blue-winged teal,0,0
1955,5,1420,Northern shoveler,0,10064.12
1955,5,1430,Northern pintail,36249.26,36508.97
1955,5,1460,Redhead,14.86,227.18
1955,5,1470,Canvasback,0,3440.05
1955,5,1499,Generic scaup,11020.14,9023.65
1955,5,1500,Ring-necked duck,0,671.97
1955,5,1519,Generic goldeneye,0,6595.21
1955,5,1530,Bufflehead,0,1924.44
1955,5,1670,Ruddy duck,0,0
1955,5,1720,Canada goose,22608.36,29775.15
1955,5,2210,American coot,0,0
1955,6,1320,Mallard,4109.69,7302.69
1955,6,1350,Gadwall,0,104.49
1955,6,1370,American wigeon,2317.06,14023.32
1955,6,1390,Green-winged teal,0,8456.39
1955,6,1400,Blue-winged teal,0,436.01
1955,6,1420,Northern shoveler,0,8040.35
1955,6,1430,Northern pintail,14542.1,15007.21
1955,6,1460,Redhead,0,140.77
1955,6,1470,Canvasback,421.17,2625.87
1955,6,1499,Generic scaup,40093.66,12627.41
1955,6,1500,Ring-necked duck,0,1445.68
1955,6,1519,Generic goldeneye,0,2874.51
1955,6,1530,Bufflehead,899.87,1531.53
1955,6,1670,Ruddy duck,0,0
1955,6,1720,Canada goose,9154.19,9154.19
1955,6,2210,American coot,0,0
1955,7,1320,Mallard,7324.2,5146.5
1955,7,1350,Gadwall,112.85,138.19
1955,7,1370,American wigeon,0,6536.73
1955,7,1390,Green-winged teal,0,4526.22
1955,7,1400,Blue-winged teal,0,173.83
1955,7,1420,Northern shoveler,207.81,1989.32
1955,7,1430,Northern pintail,4887.94,3264.22
1955,7,1460,Redhead,43.68,124.8
1955,7,1470,Canvasback,160.74,1380.49
1955,7,1499,Generic scaup,962.19,10063.49
1955,7,1500,Ring-necked duck,0,1429.21
1955,7,1519,Generic goldeneye,0,2554.53
1955,7,1530,Bufflehead,0,2173.73
1955,7,1670,Ruddy duck,5.59,114.75
1955,7,1720,Canada goose,54085.85,54085.85
1955,7,2210,American coot,4.37,30.2
1955,8,1320,Mallard,13739.81,9442.9
1955,8,1350,Gadwall,0,1864.67
1955,8,1370,American wigeon,772.8,9564.86
1955,8,1390,Green-winged teal,90.01,11901.93
1955,8,1400,Blue-winged teal,0,0
1955,8,1420,Northern shoveler,0,4869.35
1955,8,1430,Northern pintail,30197.71,29032.7
1955,8,1460,Redhead,0,0
1955,8,1470,Canvasback,9.61,734.09
1955,8,1499,Generic scaup,66693.96,30930.75
1955,8,1500,Ring-necked duck,0,3196.34
1955,8,1519,Generic goldeneye,1755.72,7631.13
1955,8,1530,Bufflehead,0,1307.7
1955,8,1670,Ruddy duck,0,0
1955,8,1720,Canada goose,29448.82,29448.82
1955,8,2210,American coot,0,0
1955,9,1320,Mallard,26203.75,26934.75
1955,9,1350,Gadwall,0,472.14
1955,9,1370,American wigeon,13801.95,27475.19
1955,9,1390,Green-winged teal,0,41309.02
1955,9,1400,Blue-winged teal,0,1106.75
1955,9,1420,Northern shoveler,0,22182.07
1955,9,1430,Northern pintail,198532.8,139206.71
1955,9,1460,Redhead,0,374.97
1955,9,1470,Canvasback,282.29,5836.84
1955,9,1499,Generic scaup,252854.56,68172.58
1955,9,1500,Ring-necked duck,0,1785.47
1955,9,1519,Generic goldeneye,0,15169.94
1955,9,1530,Bufflehead,1343.25,1608.56
1955,9,1670,Ruddy duck,0,292.06
1955,9,1720,Canada goose,416252.26,416252.26
1955,9,2210,American coot,0,0
1955,10,1320,Mallard,5794.16,8677.29
1955,10,1350,Gadwall,0,0
1955,10,1370,American wigeon,3057.1,14342.71
1955,10,1390,Green-winged teal,0,10097.41
1955,10,1400,Blue-winged teal,0,2825.79
1955,10,1420,Northern shoveler,0,19277.46
1955,10,1430,Northern pintail,70707.06,88358.72
1955,10,1460,Redhead,0,664.24
1955,10,1470,Canvasback,564.93,2393.33
1955,10,1499,Generic scaup,38985.53,23696.2
1955,10,1500,Ring-necked duck,0,1167.92
1955,10,1519,Generic goldeneye,1341.69,4369.27
1955,10,1530,Bufflehead,776.57,378.21
1955,10,1670,Ruddy duck,0,0
1955,10,1720,Canada goose,14091.1,21451.56
1955,10,2210,American coot,0,0
1955,11,1320,Mallard,4595.04,14213.78
1955,11,1350,Gadwall,0,163.38
1955,11,1370,American wigeon,0,20338.55
1955,11,1390,Green-winged teal,0,10748.31
1955,11,1400,Blue-winged teal,0,0
1955,11,1420,Northern shoveler,0,14728.78
1955,11,1430,Northern pintail,58355.82,52426.71
1955,11,1460,Redhead,0,185.75
1955,11,1470,Canvasback,515.72,5973.74
1955,11,1499,Generic scaup,58624.94,22726.01
1955,11,1500,Ring-necked duck,0,1453.63
1955,11,1519,Generic goldeneye,0,1310.04
1955,11,1530,Bufflehead,98.88,1037.6
1955,11,1670,Ruddy duck,0,0
1955,11,1720,Canada goose,20694.76,35490.37
1955,11,2210,American coot,0,0
1955,12,1320,Mallard,7374.75,6393.4
1955,12,1350,Gadwall,0,635.7
1955,12,1370,American wigeon,25323.23,35834.18
1955,12,1390,Green-winged teal,3855.85,5421.62
1955,12,1400,Blue-winged teal,0,476.2
1955,12,1420,Northern shoveler,984.69,8174.37
1955,12,1430,Northern pintail,70663.39,30978.51
1955,12,1460,Redhead,17.99,711
1955,12,1470,Canvasback,11878.33,11631.34
1955,12,1499,Generic scaup,30983.05,42256.34
1955,12,1500,Ring-necked duck,0,1115.28
1955,12,1519,Generic goldeneye,13073.29,9190.46
1955,12,1530,Bufflehead,0,734.59
1955,12,1670,Ruddy duck,0,0
1955,12,1720,Canada goose,0,4136.76
1955,12,2210,American coot,0,0
1955,13,1320,Mallard,41236.71,23698.04
1955,13,1350,Gadwall,0,1218.9
1955,13,1370,American wigeon,124285.31,89679.32
1955,13,1390,Green-winged teal,18394.63,12785.6
1955,13,1400,Blue-winged teal,0,962.29
1955,13,1420,Northern shoveler,6923.83,9652.42
1955,13,1430,Northern pintail,166828.45,76379.26
1955,13,1460,Redhead,0,1849.78
1955,13,1470,Canvasback,3043.66,12347.32
1955,13,1499,Generic scaup,63292,44128.36
1955,13,1500,Ring-necked duck,0,3270.67
1955,13,1519,Generic goldeneye,14112.96,11994.56
1955,13,1530,Bufflehead,0,1213.21
1955,13,1670,Ruddy duck,0,269.47
1955,13,1720,Canada goose,2604,4717.1
1955,13,2210,American coot,0,0
1955,14,1320,Mallard,81794.46,49263.29
1955,14,1350,Gadwall,99.4,1248.11
1955,14,1370,American wigeon,221917.35,99022.08
1955,14,1390,Green-winged teal,33838.47,34915.04
1955,14,1400,Blue-winged teal,0,1624.53
1955,14,1420,Northern shoveler,584.31,6627.51
1955,14,1430,Northern pintail,238981.43,92417.23
1955,14,1460,Redhead,0,1427.94
1955,14,1470,Canvasback,478.39,4583.98
1955,14,1499,Generic scaup,751392.76,235301.23
1955,14,1500,Ring-necked duck,659.48,10641.78
1955,14,1519,Generic goldeneye,50776.91,28130.4
1955,14,1530,Bufflehead,0,7611.59
1955,14,1670,Ruddy duck,0,1941.31
1955,14,1720,Canada goose,15631.34,39333.53
1955,14,2210,American coot,0,0
1955,15,1320,Mallard,97882.59,45433.21
1955,15,1350,Gadwall,0,1018.07
1955,15,1370,American wigeon,68895.3,42492.93
1955,15,1390,Green-winged teal,52037,44459.71
1955,15,1400,Blue-winged teal,0,5936.68
1955,15,1420,Northern shoveler,5254.69,7692.97
1955,15,1430,Northern pintail,142237.66,104253.32
1955,15,1460,Redhead,0,986.12
1955,15,1470,Canvasback,3931.99,5558.26
1955,15,1499,Generic scaup,364774.43,173681.48
1955,15,1500,Ring-necked duck,6794.12,10866.49
1955,15,1519,Generic goldeneye,6178.5,18774.6
1955,15,1530,Bufflehead,3393.7,15443.1
1955,15,1670,Ruddy duck,0,3610.05
1955,15,1720,Canada goose,97297.45,97297.45
1955,15,2210,American coot,0,7090.86
1955,16,1320,Mallard,43224.68,31199.85
1955,16,1350,Gadwall,0,1252.51
1955,16,1370,American wigeon,50913.79,39672.73
1955,16,1390,Green-winged teal,8563.12,31243.01
1955,16,1400,Blue-winged teal,0,0
1955,16,1420,Northern shoveler,0,3731.26
1955,16,1430,Northern pintail,55833.1,41964.68
1955,16,1460,Redhead,0,3154.08
1955,16,1470,Canvasback,0,1307.38
1955,16,1499,Generic scaup,200601.94,163281.78
1955,16,1500,Ring-necked duck,538.75,7844.67
1955,16,1519,Generic goldeneye,8968.05,18195.56
1955,16,1530,Bufflehead,10435.94,24498.72
1955,16,1670,Ruddy duck,0,4207.67
1955,16,1720,Canada goose,119756.98,119756.98
1955,16,2210,American coot,0,0
1955,17,1320,Mallard,327284.42,147858.04
1955,17,1350,Gadwall,0,6942.43
1955,17,1370,American wigeon,343396.79,142721.6
1955,17,1390,Green-winged teal,243118,153516.08
1955,17,1400,Blue-winged teal,28468.14,43780.59
1955,17,1420,Northern shoveler,83536.23,82000.04
1955,17,1430,Northern pintail,217009,100443.09
1955,17,1460,Redhead,1196.59,7355.74
1955,17,1470,Canvasback,4851.59,22759.87
1955,17,1499,Generic scaup,391976.95,271614.15
