YEAR,STRATUM,AOU,SPECIES,POP,SEPOP
1987,1,1320,Mallard,1732,730
1987,1,1350,Gadwall,0,0
1987,1,1370,American wigeon,2412,932
1987,1,1390,Green-winged teal,977,958
1987,1,1400,Blue-winged teal,0,0
1987,1,1420,Northern shoveler,1475,1000
1987,1,1430,Northern pintail,1660,1410
1987,1,1460,Redhead,0,0
1987,1,1470,Canvasback,2409,1691
1987,1,1499,Generic scaup,3005,1035
1987,1,1500,Ring-necked duck,1107,1085
1987,1,1519,Generic goldeneye,9122,6114
1987,1,1530,Bufflehead,205,174
1987,1,1670,Ruddy duck,0,0
1987,1,1720,Canada goose,635.35,635.35
1987,1,2210,American coot,0,0
1987,2,1320,Mallard,3281,1708
1987,2,1350,Gadwall,0,0
1987,2,1370,American wigeon,5481,1959
1987,2,1390,Green-winged teal,9327,5019
1987,2,1400,Blue-winged teal,1546,1594
1987,2,1420,Northern shoveler,3017,1597
1987,2,1430,Northern pintail,2264,965
1987,2,1460,Redhead,0,0
1987,2,1470,Canvasback,365,376
1987,2,1499,Generic scaup,34553,7395
1987,2,1500,Ring-necked duck,5735,3677
1987,2,1519,Generic goldeneye,4327,2266
1987,2,1530,Bufflehead,8088,3188
1987,2,1670,Ruddy duck,0,0
1987,2,1720,Canada goose,433.19,433.19
1987,2,2210,American coot,0,0
1987,3,1320,Mallard,19601,6532
1987,3,1350,Gadwall,0,0
1987,3,1370,American wigeon,46597,14630
1987,3,1390,Green-winged teal,46313,15367
1987,3,1400,Blue-winged teal,0,0
1987,3,1420,Northern shoveler,34960,13880
1987,3,1430,Northern pintail,61309,25668
1987,3,1460,Redhead,0,0
1987,3,1470,Canvasback,16112,11966
1987,3,1499,Generic scaup,72488,32252
1987,3,1500,Ring-necked duck,9357,4359
1987,3,1519,Generic goldeneye,15750,6506
1987,3,1530,Bufflehead,17029,7346
1987,3,1670,Ruddy duck,0,0
1987,3,1720,Canada goose,2034.71,2034.71
1987,3,2210,American coot,0,0
1987,4,1320,Mallard,34014,5876
1987,4,1350,Gadwall,0,0
1987,4,1370,American wigeon,147000,21798
1987,4,1390,Green-winged teal,105530,17384
1987,4,1400,Blue-winged teal,0,0
1987,4,1420,Northern shoveler,111796,26632
1987,4,1430,Northern pintail,177911,34813
1987,4,1460,Redhead,0,0
1987,4,1470,Canvasback,54521,24239
1987,4,1499,Generic scaup,254439,43516
1987,4,1500,Ring-necked duck,18472,6726
1987,4,1519,Generic goldeneye,6815,2637
1987,4,1530,Bufflehead,18071,5020
1987,4,1670,Ruddy duck,0,0
1987,4,1720,Canada goose,8577.29,8577.29
1987,4,2210,American coot,0,0
1987,5,1320,Mallard,5273,1101
1987,5,1350,Gadwall,0,0
1987,5,1370,American wigeon,23153,4889
1987,5,1390,Green-winged teal,34321,9360
1987,5,1400,Blue-winged teal,0,0
1987,5,1420,Northern shoveler,26944,10828
1987,5,1430,Northern pintail,56942,13435
1987,5,1460,Redhead,0,0
1987,5,1470,Canvasback,3384,2065
1987,5,1499,Generic scaup,12946,4433
1987,5,1500,Ring-necked duck,311,331
1987,5,1519,Generic goldeneye,13373,6741
1987,5,1530,Bufflehead,4023,2230
1987,5,1670,Ruddy duck,0,0
1987,5,1720,Canada goose,9595.96,9595.96
1987,5,2210,American coot,0,0
1987,6,1320,Mallard,4842,1842
1987,6,1350,Gadwall,0,0
1987,6,1370,American wigeon,24719,3208
1987,6,1390,Green-winged teal,19121,3569
1987,6,1400,Blue-winged teal,0,0
1987,6,1420,Northern shoveler,19588,4055
1987,6,1430,Northern pintail,34930,7781
1987,6,1460,Redhead,0,0
1987,6,1470,Canvasback,997,540
1987,6,1499,Generic scaup,26878,4313
1987,6,1500,Ring-necked duck,619,624
1987,6,1519,Generic goldeneye,2217,1070
1987,6,1530,Bufflehead,4955,1281
1987,6,1670,Ruddy duck,0,0
1987,6,1720,Canada goose,1184.07,1184.07
1987,6,2210,American coot,0,0
1987,7,1320,Mallard,4934,1147
1987,7,1350,Gadwall,0,0
1987,7,1370,American wigeon,1900,449
1987,7,1390,Green-winged teal,1777,1024
1987,7,1400,Blue-winged teal,0,0
1987,7,1420,Northern shoveler,2012,1312
1987,7,1430,Northern pintail,3169,1112
1987,7,1460,Redhead,186,197
1987,7,1470,Canvasback,0,0
1987,7,1499,Generic scaup,4990,2464
1987,7,1500,Ring-necked duck,483,298
1987,7,1519,Generic goldeneye,144,136
1987,7,1530,Bufflehead,223,151
1987,7,1670,Ruddy duck,0,0
1987,7,1720,Canada goose,22064.15,22064.15
1987,7,2210,American coot,0,0
1987,8,1320,Mallard,24152,7165
1987,8,1350,Gadwall,653,658
1987,8,1370,American wigeon,18984,5382
1987,8,1390,Green-winged teal,12591,7438
1987,8,1400,Blue-winged teal,0,0
1987,8,1420,Northern shoveler,10604,4591
1987,8,1430,Northern pintail,51506,14800
1987,8,1460,Redhead,0,0
1987,8,1470,Canvasback,0,0
1987,8,1499,Generic scaup,63650,15171
1987,8,1500,Ring-necked duck,866,872
1987,8,1519,Generic goldeneye,5044,4539
1987,8,1530,Bufflehead,400,384
1987,8,1670,Ruddy duck,0,0
1987,8,1720,Canada goose,3107.71,3107.71
1987,8,2210,American coot,0,0
1987,9,1320,Mallard,63556,12007
1987,9,1350,Gadwall,0,0
1987,9,1370,American wigeon,91420,19207
1987,9,1390,Green-winged teal,90634,20738
1987,9,1400,Blue-winged teal,0,0
1987,9,1420,Northern shoveler,76000,18726
1987,9,1430,Northern pintail,317832,34956
1987,9,1460,Redhead,0,0
1987,9,1470,Canvasback,9707,6329
1987,9,1499,Generic scaup,211604,30918
1987,9,1500,Ring-necked duck,0,0
1987,9,1519,Generic goldeneye,8115,3098
1987,9,1530,Bufflehead,1522,775
1987,9,1670,Ruddy duck,0,0
1987,9,1720,Canada goose,95434.34,95434.34
1987,9,2210,American coot,0,0
1987,10,1320,Mallard,7715,6986
1987,10,1350,Gadwall,0,0
1987,10,1370,American wigeon,8437,8309
1987,10,1390,Green-winged teal,6895,2562
1987,10,1400,Blue-winged teal,0,0
1987,10,1420,Northern shoveler,16676,12943
1987,10,1430,Northern pintail,140431,82065
1987,10,1460,Redhead,0,0
1987,10,1470,Canvasback,2007,1884
1987,10,1499,Generic scaup,28439,14046
1987,10,1500,Ring-necked duck,0,0
1987,10,1519,Generic goldeneye,0,0
1987,10,1530,Bufflehead,0,0
1987,10,1670,Ruddy duck,0,0
1987,10,1720,Canada goose,15089.68,15089.68
1987,10,2210,American coot,0,0
1987,11,1320,Mallard,12508,6499
1987,11,1350,Gadwall,0,0
1987,11,1370,American wigeon,52149,10470
1987,11,1390,Green-winged teal,29808,8506
1987,11,1400,Blue-winged teal,0,0
1987,11,1420,Northern shoveler,19432,6403
1987,11,1430,Northern pintail,74757,20303
1987,11,1460,Redhead,0,0
1987,11,1470,Canvasback,3254,2613
1987,11,1499,Generic scaup,46968,8108
1987,11,1500,Ring-necked duck,897,961
1987,11,1519,Generic goldeneye,0,0
1987,11,1530,Bufflehead,1243,1216
1987,11,1670,Ruddy duck,0,0
1987,11,1720,Canada goose,13197.45,13197.45
1987,11,2210,American coot,0,0
1987,12,1320,Mallard,4194,2022
1987,12,1350,Gadwall,0,0
1987,12,1370,American wigeon,40571,8982
1987,12,1390,Green-winged teal,5151,3597
1987,12,1400,Blue-winged teal,0,0
1987,12,1420,Northern shoveler,4203,3468
1987,12,1430,Northern pintail,36723,16267
1987,12,1460,Redhead,0,0
1987,12,1470,Canvasback,6525,4504
1987,12,1499,Generic scaup,37867,14209
1987,12,1500,Ring-necked duck,440,416
1987,12,1519,Generic goldeneye,6906,3240
1987,12,1530,Bufflehead,0,0
1987,12,1670,Ruddy duck,0,0
1987,12,1720,Canada goose,1580.36,1580.36
1987,12,2210,American coot,0,0
1987,13,1320,Mallard,12191,5128
1987,13,1350,Gadwall,0,0
1987,13,1370,American wigeon,65170,17745
1987,13,1390,Green-winged teal,19355,13946
1987,13,1400,Blue-winged teal,0,0
1987,13,1420,Northern shoveler,3828,2725
1987,13,1430,Northern pintail,21903,6377
1987,13,1460,Redhead,0,0
1987,13,1470,Canvasback,6396,4758
1987,13,1499,Generic scaup,64466,14268
1987,13,1500,Ring-necked duck,0,0
1987,13,1519,Generic goldeneye,2966,1993
1987,13,1530,Bufflehead,607,607
1987,13,1670,Ruddy duck,0,0
