YEAR,STRATUM,AOU,SPECIES,POP,SEPOP
1971,1,1320,Mallard,3931,2216
1971,1,1350,Gadwall,0,0
1971,1,1370,American wigeon,1206,712
1971,1,1390,Green-winged teal,0,0
1971,1,1400,Blue-winged teal,0,0
1971,1,1420,Northern shoveler,1844,1350
1971,1,1430,Northern pintail,1936,613
1971,1,1460,Redhead,0,0
1971,1,1470,Canvasback,0,0
1971,1,1499,Generic scaup,3305,2258
1971,1,1500,Ring-necked duck,0,0
1971,1,1519,Generic goldeneye,3570,1853
1971,1,1530,Bufflehead,1329,561
1971,1,1670,Ruddy duck,0,0
1971,1,1720,Canada goose,1270.71,1270.71
1971,1,2210,American coot,0,0
1971,2,1320,Mallard,2681,1035
1971,2,1350,Gadwall,0,0
1971,2,1370,American wigeon,4659,1986
1971,2,1390,Green-winged teal,6662,3245
1971,2,1400,Blue-winged teal,0,0
1971,2,1420,Northern shoveler,503,519
1971,2,1430,Northern pintail,1886,1290
1971,2,1460,Redhead,0,0
1971,2,1470,Canvasback,0,0
1971,2,1499,Generic scaup,20761,6072
1971,2,1500,Ring-necked duck,0,0
1971,2,1519,Generic goldeneye,2704,2568
1971,2,1530,Bufflehead,4741,2823
1971,2,1670,Ruddy duck,0,0
1971,2,1720,Canada goose,0,0
1971,2,2210,American coot,0,0
1971,3,1320,Mallard,38778,13634
1971,3,1350,Gadwall,0,0
1971,3,1370,American wigeon,49434,15511
1971,3,1390,Green-winged teal,62584,21113
1971,3,1400,Blue-winged teal,0,0
1971,3,1420,Northern shoveler,6142,2902
1971,3,1430,Northern pintail,35437,9922
1971,3,1460,Redhead,0,0
1971,3,1470,Canvasback,10970,7449
1971,3,1499,Generic scaup,68643,24432
1971,3,1500,Ring-necked duck,0,0
1971,3,1519,Generic goldeneye,14480,6605
1971,3,1530,Bufflehead,19386,7854
1971,3,1670,Ruddy duck,0,0
1971,3,1720,Canada goose,12615.21,12615.21
1971,3,2210,American coot,0,0
1971,4,1320,Mallard,54039,13563
1971,4,1350,Gadwall,0,0
1971,4,1370,American wigeon,84855,13513
1971,4,1390,Green-winged teal,135509,36327
1971,4,1400,Blue-winged teal,0,0
1971,4,1420,Northern shoveler,8147,2606
1971,4,1430,Northern pintail,69260,13517
1971,4,1460,Redhead,0,0
1971,4,1470,Canvasback,24633,10475
1971,4,1499,Generic scaup,224706,31217
1971,4,1500,Ring-necked duck,0,0
1971,4,1519,Generic goldeneye,10709,3968
1971,4,1530,Bufflehead,10542,2915
1971,4,1670,Ruddy duck,0,0
1971,4,1720,Canada goose,28071.14,28071.14
1971,4,2210,American coot,0,0
1971,5,1320,Mallard,8838,4713
1971,5,1350,Gadwall,0,0
1971,5,1370,American wigeon,7907,3287
1971,5,1390,Green-winged teal,6864,3276
1971,5,1400,Blue-winged teal,0,0
1971,5,1420,Northern shoveler,1036,616
1971,5,1430,Northern pintail,38089,11569
1971,5,1460,Redhead,0,0
1971,5,1470,Canvasback,0,0
1971,5,1499,Generic scaup,7036,2528
1971,5,1500,Ring-necked duck,0,0
1971,5,1519,Generic goldeneye,1114,1075
1971,5,1530,Bufflehead,287,277
1971,5,1670,Ruddy duck,0,0
1971,5,1720,Canada goose,72304.47,72304.47
1971,5,2210,American coot,0,0
1971,6,1320,Mallard,4396,1651
1971,6,1350,Gadwall,0,0
1971,6,1370,American wigeon,17230,4169
1971,6,1390,Green-winged teal,28225,6749
1971,6,1400,Blue-winged teal,0,0
1971,6,1420,Northern shoveler,2062,888
1971,6,1430,Northern pintail,11342,4140
1971,6,1460,Redhead,0,0
1971,6,1470,Canvasback,0,0
1971,6,1499,Generic scaup,29586,6480
1971,6,1500,Ring-necked duck,0,0
1971,6,1519,Generic goldeneye,370,353
1971,6,1530,Bufflehead,1334,481
1971,6,1670,Ruddy duck,0,0
1971,6,1720,Canada goose,5624.33,5624.33
1971,6,2210,American coot,0,0
1971,7,1320,Mallard,8576.07,4891.87
1971,7,1350,Gadwall,85.04,132.66
1971,7,1370,American wigeon,331.48,6108.74
1971,7,1390,Green-winged teal,284.57,4312.44
1971,7,1400,Blue-winged teal,0,162.45
1971,7,1420,Northern shoveler,1374.94,1936.08
1971,7,1430,Northern pintail,5784.09,3092.06
1971,7,1460,Redhead,60.13,121.71
1971,7,1470,Canvasback,670.3,1342.87
1971,7,1499,Generic scaup,7690.91,9388.63
1971,7,1500,Ring-necked duck,0,1338.76
1971,7,1519,Generic goldeneye,1086.29,2410.09
1971,7,1530,Bufflehead,497.1,2021.34
1971,7,1670,Ruddy duck,11.48,111.97
1971,7,1720,Canada goose,52437.22,52437.22
1971,7,2210,American coot,6.72,29.95
1971,8,1320,Mallard,2588,1248
1971,8,1350,Gadwall,0,0
1971,8,1370,American wigeon,11968,4710
1971,8,1390,Green-winged teal,3597,2365
1971,8,1400,Blue-winged teal,0,0
1971,8,1420,Northern shoveler,0,0
1971,8,1430,Northern pintail,20668,5332
1971,8,1460,Redhead,0,0
1971,8,1470,Canvasback,524,503
1971,8,1499,Generic scaup,34737,11251
1971,8,1500,Ring-necked duck,0,0
1971,8,1519,Generic goldeneye,6984,4342
1971,8,1530,Bufflehead,0,0
1971,8,1670,Ruddy duck,0,0
1971,8,1720,Canada goose,3729.25,3729.25
1971,8,2210,American coot,0,0
1971,9,1320,Mallard,29523,6905
1971,9,1350,Gadwall,0,0
1971,9,1370,American wigeon,45514,10227
1971,9,1390,Green-winged teal,38477,12976
1971,9,1400,Blue-winged teal,2109,2125
1971,9,1420,Northern shoveler,8531,3213
1971,9,1430,Northern pintail,163438,26011
1971,9,1460,Redhead,0,0
1971,9,1470,Canvasback,1493,1047
1971,9,1499,Generic scaup,137246,21340
1971,9,1500,Ring-necked duck,0,0
1971,9,1519,Generic goldeneye,39470,26991
1971,9,1530,Bufflehead,1902,725
1971,9,1670,Ruddy duck,0,0
1971,9,1720,Canada goose,142412.86,142412.86
1971,9,2210,American coot,0,0
1971,10,1320,Mallard,5143,6776
1971,10,1350,Gadwall,0,0
1971,10,1370,American wigeon,15996,6142
1971,10,1390,Green-winged teal,16088,5271
1971,10,1400,Blue-winged teal,0,0
1971,10,1420,Northern shoveler,3648,2802
1971,10,1430,Northern pintail,19562,12539
1971,10,1460,Redhead,0,0
1971,10,1470,Canvasback,0,0
1971,10,1499,Generic scaup,24187,18080
1971,10,1500,Ring-necked duck,0,0
1971,10,1519,Generic goldeneye,0,0
1971,10,1530,Bufflehead,0,0
1971,10,1670,Ruddy duck,0,0
1971,10,1720,Canada goose,31503.02,31503.02
1971,10,2210,American coot,0,0
1971,11,1320,Mallard,5361,2160
1971,11,1350,Gadwall,0,0
1971,11,1370,American wigeon,50440,14903
1971,11,1390,Green-winged teal,20493,9951
1971,11,1400,Blue-winged teal,0,0
1971,11,1420,Northern shoveler,3380,1811
1971,11,1430,Northern pintail,63203,16479
1971,11,1460,Redhead,0,0
1971,11,1470,Canvasback,0,0
1971,11,1499,Generic scaup,65712,27324
1971,11,1500,Ring-necked duck,0,0
1971,11,1519,Generic goldeneye,0,0
1971,11,1530,Bufflehead,3316,3100
1971,11,1670,Ruddy duck,0,0
1971,11,1720,Canada goose,16738.23,16738.23
1971,11,2210,American coot,0,0
1971,12,1320,Mallard,3295,1385
1971,12,1350,Gadwall,0,0
1971,12,1370,American wigeon,31966,13256
1971,12,1390,Green-winged teal,2575,1799
1971,12,1400,Blue-winged teal,0,0
1971,12,1420,Northern shoveler,1146,555
1971,12,1430,Northern pintail,21859,7722
1971,12,1460,Redhead,0,0
1971,12,1470,Canvasback,7943,2700
1971,12,1499,Generic scaup,88889,31275
1971,12,1500,Ring-necked duck,0,0
1971,12,1519,Generic goldeneye,1184,1321
1971,12,1530,Bufflehead,1211,858
1971,12,1670,Ruddy duck,0,0
1971,12,1720,Canada goose,632.14,632.14
1971,12,2210,American coot,0,0
1971,13,1320,Mallard,12007,6335
1971,13,1350,Gadwall,0,0
1971,13,1370,American wigeon,46001,12620
1971,13,1390,Green-winged teal,8602,6162
1971,13,1400,Blue-winged teal,0,0
1971,13,1420,Northern shoveler,0,0
1971,13,1430,Northern pintail,13872,5353
1971,13,1460,Redhead,0,0
1971,13,1470,Canvasback,4264,3414
1971,13,1499,Generic scaup,76426,39650
1971,13,1500,Ring-necked duck,6068,2246
1971,13,1519,Generic goldeneye,0,0
1971,13,1530,Bufflehead,0,0
1971,13,1670,Ruddy duck,0,0
1971,13,1720,Canada goose,0,0
1971,13,2210,American coot,0,0
1971,14,1320,Mallard,53674,18416
1971,14,1350,Gadwall,0,0
1971,14,1370,American wigeon,152322,35668
1971,14,1390,Green-winged teal,0,0
1971,14,1400,Blue-winged teal,0,0
1971,14,1420,Northern shoveler,4667,4339
1971,14,1430,Northern pintail,22549,6561
1971,14,1460,Redhead,0,0
1971,14,1470,Canvasback,0,0
1971,14,1499,Generic scaup,913595,161916
1971,14,1500,Ring-necked duck,0,0
1971,14,1519,Generic goldeneye,1607,1501
1971,14,1530,Bufflehead,7888,4524
1971,14,1670,Ruddy duck,0,0
1971,14,1720,Canada goose,14790.51,14790.51
1971,14,2210,American coot,0,0
1971,15,1320,Mallard,108161,48399
1971,15,1350,Gadwall,0,0
1971,15,1370,American wigeon,112825,24268
1971,15,1390,Green-winged teal,16754,3601
1971,15,1400,Blue-winged teal,0,0
1971,15,1420,Northern shoveler,0,0
1971,15,1430,Northern pintail,17064,2807
1971,15,1460,Redhead,0,0
1971,15,1470,Canvasback,0,0
1971,15,1499,Generic scaup,369990,54358
1971,15,1500,Ring-necked duck,12894,11094
1971,15,1519,Generic goldeneye,0,0
1971,15,1530,Bufflehead,28352,11213
1971,15,1670,Ruddy duck,0,0
1971,15,1720,Canada goose,59072.57,59072.57
1971,15,2210,American coot,0,0
1971,16,1320,Mallard,33496,13536
1971,16,1350,Gadwall,0,0
1971,16,1370,American wigeon,22814,20444
1971,16,1390,Green-winged teal,0,0
1971,16,1400,Blue-winged teal,0,0
1971,16,1420,Northern shoveler,0,0
1971,16,1430,Northern pintail,0,0
1971,16,1460,Redhead,0,0
1971,16,1470,Canvasback,0,0
1971,16,1499,Generic scaup,249876,45399
1971,16,1500,Ring-necked duck,4925,6045
1971,16,1519,Generic goldeneye,0,0
1971,16,1530,Bufflehead,54145,32068
1971,16,1670,Ruddy duck,0,0
1971,16,1720,Canada goose,0,0
1971,16,2210,American coot,0,0
1971,17,1320,Mallard,169339,43297
1971,17,1350,Gadwall,0,0
1971,17,1370,American wigeon,121899,47367
1971,17,1390,Green-winged teal,114413,37916
1971,17,1400,Blue-winged teal,0,0
1971,17,1420,Northern shoveler,22825,10412
1971,17,1430,Northern pintail,8036,3647
1971,17,1460,Redhead,0,0
1971,17,1470,Canvasback,3911,1967
1971,17,1499,Generic scaup,465050,157872
1971,17,1500,Ring-necked duck,15181,7403
1971,17,1519,Generic goldeneye,3627,2199
1971,17,1530,Bufflehead,83454,30013
1971,17,1670,Ruddy duck,0,0
1971,17,1720,Canada goose,31993.77,31993.77
1971,17,2210,American coot,0,0
1971,18,1320,Mallard,80884,28784
1971,18,1350,Gadwall,0,0
1971,18,1370,American wigeon,70212,15305
1971,18,1390,Green-winged teal,47721,26405
1971,18,1400,Blue-winged teal,0,0
1971,18,1420,Northern shoveler,6068,4657
1971,18,1430,Northern pintail,0,0
1971,18,1460,Redhead,0,0
1971,18,1470,Canvasback,20275,15657
1971,18,1499,Generic scaup,527413,117238
1971,18,1500,Ring-necked duck,31479,5457
1971,18,1519,Generic goldeneye,3134,3888
1971,18,1530,Bufflehead,71141,49930
1971,18,1670,Ruddy duck,0,0
1971,18,1720,Canada goose,0,0
1971,18,2210,American coot,0,0
1971,20,1320,Mallard,56906,14321
1971,20,1350,Gadwall,1253,818
1971,20,1370,American wigeon,31417,6630
1971,20,1390,Green-winged teal,7284,3957
1971,20,1400,Blue-winged teal,11698,8665
1971,20,1420,Northern shoveler,28093,9245
1971,20,1430,Northern pintail,7418,2820
1971,20,1460,Redhead,6091,1453
1971,20,1470,Canvasback,6686,4786
1971,20,1499,Generic scaup,28879,8024
1971,20,1500,Ring-necked duck,0,0
1971,20,1519,Generic goldeneye,3720,2750
1971,20,1530,Bufflehead,6848,3401
1971,20,1670,Ruddy duck,2450,1952
1971,20,1720,Canada goose,856.02,856.02
1971,20,2210,American coot,728,509
1971,21,1320,Mallard,71526,27459
1971,21,1350,Gadwall,1443,1450
1971,21,1370,American wigeon,51579,18632
1971,21,1390,Green-winged teal,10050,5623
1971,21,1400,Blue-winged teal,4900,5053
1971,21,1420,Northern shoveler,0,0
1971,21,1430,Northern pintail,1266,1307
1971,21,1460,Redhead,0,0
1971,21,1470,Canvasback,0,0
1971,21,1499,Generic scaup,41815,6781
1971,21,1500,Ring-necked duck,44038,21029
1971,21,1519,Generic goldeneye,18854,9876
1971,21,1530,Bufflehead,16826,6730
1971,21,1670,Ruddy duck,0,0
1971,21,1720,Canada goose,13146.81,13146.81
1971,21,2210,American coot,2237,1573
1971,22,1320,Mallard,229736,41035
1971,22,1350,Gadwall,5175,3180
1971,22,1370,American wigeon,98762,26323
1971,22,1390,Green-winged teal,16479,4399
1971,22,1400,Blue-winged teal,30129,15695
1971,22,1420,Northern shoveler,8503,4875
1971,22,1430,Northern pintail,5838,2978
1971,22,1460,Redhead,5677,2706
1971,22,1470,Canvasback,1263,737
1971,22,1499,Generic scaup,151186,50895
1971,22,1500,Ring-necked duck,71726,19072
1971,22,1519,Generic goldeneye,18443,7347
1971,22,1530,Bufflehead,44726,13677
1971,22,1670,Ruddy duck,0,0
1971,22,1720,Canada goose,5389.19,5389.19
1971,22,2210,American coot,9171,3755
1971,23,1320,Mallard,240597,51584
1971,23,1350,Gadwall,0,0
1971,23,1370,American wigeon,78819,21698
1971,23,1390,Green-winged teal,49605,13789
1971,23,1400,Blue-winged teal,0,0
1971,23,1420,Northern shoveler,4818,5514
1971,23,1430,Northern pintail,0,0
1971,23,1460,Redhead,0,0
1971,23,1470,Canvasback,0,0
1971,23,1499,Generic scaup,62068,18952
1971,23,1500,Ring-necked duck,77631,26500
1971,23,1519,Generic goldeneye,32347,10745
1971,23,1530,Bufflehead,59542,18361
1971,23,1670,Ruddy duck,0,0
1971,23,1720,Canada goose,13359.92,13359.92
1971,23,2210,American coot,1624,1624
1971,24,1320,Mallard,327751,108943
1971,24,1350,Gadwall,1097,1051
1971,24,1370,American wigeon,150732,39454
1971,24,1390,Green-winged teal,58096,15648
1971,24,1400,Blue-winged teal,14908,15101
1971,24,1420,Northern shoveler,6311,5065
1971,24,1430,Northern pintail,35626,28582
1971,24,1460,Redhead,5618,5693
1971,24,1470,Canvasback,3749,3798
1971,24,1499,Generic scaup,102562,19523
1971,24,1500,Ring-necked duck,145350,38758
1971,24,1519,Generic goldeneye,37807,17882
1971,24,1530,Bufflehead,51594,17183
1971,24,1670,Ruddy duck,0,0
1971,24,1720,Canada goose,25999.19,25999.19
1971,24,2210,American coot,4254,3072
1971,25,1320,Mallard,169326,48746
1971,25,1350,Gadwall,20510,5510
1971,25,1370,American wigeon,83837,19051
1971,25,1390,Green-winged teal,14287,5848
1971,25,1400,Blue-winged teal,135711,52429
1971,25,1420,Northern shoveler,24810,6931
1971,25,1430,Northern pintail,29476,19226
1971,25,1460,Redhead,17016,7577
1971,25,1470,Canvasback,10872,4487
1971,25,1499,Generic scaup,87058,22498
1971,25,1500,Ring-necked duck,72280,17787
1971,25,1519,Generic goldeneye,6301,2510
1971,25,1530,Bufflehead,14692,5085
1971,25,1670,Ruddy duck,6916,1467
1971,25,1720,Canada goose,10311.38,10311.38
1971,25,2210,American coot,27142,8024
1971,26,1320,Mallard,1191470,190294
1971,26,1350,Gadwall,183846,35967
1971,26,1370,American wigeon,229656,36623
1971,26,1390,Green-winged teal,162819,50723
1971,26,1400,Blue-winged teal,457686,79464
1971,26,1420,Northern shoveler,162547,31652
1971,26,1430,Northern pintail,637483,120919
1971,26,1460,Redhead,44183,16110
1971,26,1470,Canvasback,30170,8457
1971,26,1499,Generic scaup,215018,62892
1971,26,1500,Ring-necked duck,17307,11559
1971,26,1519,Generic goldeneye,16520,9069
1971,26,1530,Bufflehead,30733,11402
1971,26,1670,Ruddy duck,54337,19531
1971,26,1720,Canada goose,10469,10469
1971,26,2210,American coot,80879,23385
1971,26,9991,Pond,585392.36,94027.24
1971,27,1320,Mallard,338918,40062
1971,27,1350,Gadwall,69853,25206
1971,27,1370,American wigeon,118096,25496
1971,27,1390,Green-winged teal,51005,15416
1971,27,1400,Blue-winged teal,144921,43197
1971,27,1420,Northern shoveler,115244,16922
1971,27,1430,Northern pintail,459865,105042
1971,27,1460,Redhead,7081,5711
1971,27,1470,Canvasback,4280,1580
1971,27,1499,Generic scaup,30383,10408
1971,27,1500,Ring-necked duck,3328,1448
1971,27,1519,Generic goldeneye,2383,1553
1971,27,1530,Bufflehead,939,925
1971,27,1670,Ruddy duck,1097,1080
1971,27,1720,Canada goose,3152.35,3152.35
1971,27,2210,American coot,9590,3297
1971,27,9991,Pond,196601,36421
1971,28,1320,Mallard,171456,14496
1971,28,1350,Gadwall,69249,7638
1971,28,1370,American wigeon,82789,8561
1971,28,1390,Green-winged teal,34181,11891
1971,28,1400,Blue-winged teal,79894,23708
1971,28,1420,Northern shoveler,98415,18493
1971,28,1430,Northern pintail,490021,135536
1971,28,1460,Redhead,11625,3191
1971,28,1470,Canvasback,3056,1151
1971,28,1499,Generic scaup,30261,7150
1971,28,1500,Ring-necked duck,12686,4448
1971,28,1519,Generic goldeneye,0,0
1971,28,1530,Bufflehead,826,826
1971,28,1670,Ruddy duck,1286,1286
1971,28,1720,Canada goose,20069.01,20069.01
1971,28,2210,American coot,5021,2671
1971,28,9991,Pond,121414,11619
1971,29,1320,Mallard,169442,23976
1971,29,1350,Gadwall,39890,8167
1971,29,1370,American wigeon,71499,18418
1971,29,1390,Green-winged teal,15312,7025
1971,29,1400,Blue-winged teal,31792,6897
1971,29,1420,Northern shoveler,47387,9814
1971,29,1430,Northern pintail,175685,23306
1971,29,1460,Redhead,5834,2806
1971,29,1470,Canvasback,1504,785
1971,29,1499,Generic scaup,23804,9306
1971,29,1500,Ring-necked duck,2900,2212
1971,29,1519,Generic goldeneye,1510,912
1971,29,1530,Bufflehead,1339,879
1971,29,1670,Ruddy duck,0,0
1971,29,1720,Canada goose,16268.02,16268.02
1971,29,2210,American coot,4233,2433
1971,29,9991,Pond,78039,23439
1971,30,1320,Mallard,842757,168494
1971,30,1350,Gadwall,138346,39822
1971,30,1370,American wigeon,214716,57447
1971,30,1390,Green-winged teal,69398,26097
1971,30,1400,Blue-winged teal,217127,99389
1971,30,1420,Northern shoveler,149917,61269
1971,30,1430,Northern pintail,327979,134573
1971,30,1460,Redhead,25070,9248
1971,30,1470,Canvasback,54435,18886
1971,30,1499,Generic scaup,58946,13602
1971,30,1500,Ring-necked duck,1562,1562
1971,30,1519,Generic goldeneye,4473,4473
1971,30,1530,Bufflehead,6762,3618
1971,30,1670,Ruddy duck,11559,6425
1971,30,1720,Canada goose,2536.18,2536.18
1971,30,2210,American coot,50583,12625
1971,30,9991,Pond,294264,69717
1971,31,1320,Mallard,611493,128242
1971,31,1350,Gadwall,63989,18124
1971,31,1370,American wigeon,121708,34251
1971,31,1390,Green-winged teal,87556,26437
1971,31,1400,Blue-winged teal,201901,62141
1971,31,1420,Northern shoveler,107068,35079
1971,31,1430,Northern pintail,257499,93674
1971,31,1460,Redhead,52190,23622
1971,31,1470,Canvasback,38486,16786
1971,31,1499,Generic scaup,31907,8471
1971,31,1500,Ring-necked duck,4257,4111
1971,31,1519,Generic goldeneye,9142,8850
1971,31,1530,Bufflehead,3252,2163
1971,31,1670,Ruddy duck,24750,8749
1971,31,1720,Canada goose,13823.04,13823.04
1971,31,2210,American coot,155948,45742
1971,31,9991,Pond,406953,107966
1971,32,1320,Mallard,1244671,165739
1971,32,1350,Gadwall,302246,62666
1971,32,1370,American wigeon,424954,95680
1971,32,1390,Green-winged teal,98914,25503
1971,32,1400,Blue-winged teal,390537,78300
1971,32,1420,Northern shoveler,389509,52677
1971,32,1430,Northern pintail,1104461,186911
1971,32,1460,Redhead,37479,12406
1971,32,1470,Canvasback,60031,24751
1971,32,1499,Generic scaup,74532,13890
1971,32,1500,Ring-necked duck,1356,736
1971,32,1519,Generic goldeneye,647,648
1971,32,1530,Bufflehead,460,315
1971,32,1670,Ruddy duck,9556,3545
1971,32,1720,Canada goose,5136.89,5136.89
1971,32,2210,American coot,165285,39505
1971,32,9991,Pond,495343,46975
1971,33,1320,Mallard,217105,38612
1971,33,1350,Gadwall,36289,22277
1971,33,1370,American wigeon,79336,24285
1971,33,1390,Green-winged teal,22612,9807
1971,33,1400,Blue-winged teal,48399,17770
1971,33,1420,Northern shoveler,89821,16454
1971,33,1430,Northern pintail,230143,62012
1971,33,1460,Redhead,10721,6877
1971,33,1470,Canvasback,5647,2678
1971,33,1499,Generic scaup,21311,10482
1971,33,1500,Ring-necked duck,0,0
1971,33,1519,Generic goldeneye,0,0
1971,33,1530,Bufflehead,0,0
1971,33,1670,Ruddy duck,0,0
1971,33,1720,Canada goose,25798.05,25798.05
1971,33,2210,American coot,10675,4980
1971,33,9991,Pond,120441,16981
1971,34,1320,Mallard,293770,72467
1971,34,1350,Gadwall,16702,3812
1971,34,1370,American wigeon,88327,32478
1971,34,1390,Green-winged teal,28060,11573
1971,34,1400,Blue-winged teal,198134,42336
1971,34,1420,Northern shoveler,82973,23558
1971,34,1430,Northern pintail,164999,54484
1971,34,1460,Redhead,31050,17405
1971,34,1470,Canvasback,24444,11034
1971,34,1499,Generic scaup,24709,7809
1971,34,1500,Ring-necked duck,0,0
1971,34,1519,Generic goldeneye,0,0
1971,34,1530,Bufflehead,482,482
1971,34,1670,Ruddy duck,8978,3328
1971,34,1720,Canada goose,0,0
1971,34,2210,American coot,77659,27704
1971,34,9991,Pond,608658,80586
1971,35,1320,Mallard,197453,45529
1971,35,1350,Gadwall,32599,8937
1971,35,1370,American wigeon,22374,7642
1971,35,1390,Green-winged teal,80325,25459
1971,35,1400,Blue-winged teal,235289,42161
1971,35,1420,Northern shoveler,88384,23937
