YEAR,STRATUM,AOU,SPECIES,POP,SEPOP
2000,1,1320,Mallard,21991.2,5183.48
2000,1,1350,Gadwall,0,0
2000,1,1370,American wigeon,13249.5,4745.73
2000,1,1390,Green-winged teal,17582.4,4982.64
2000,1,1400,Blue-winged teal,0,0
2000,1,1420,Northern shoveler,1474,598.13
2000,1,1430,Northern pintail,6902.5,2592.34
2000,1,1460,Redhead,0,0
2000,1,1470,Canvasback,0,0
2000,1,1499,Generic scaup,15915.9,4677.79
2000,1,1500,Ring-necked duck,2874.3,1281.58
2000,1,1519,Generic goldeneye,5162.3,1816.36
2000,1,1530,Bufflehead,1227.6,625.68
2000,1,1670,Ruddy duck,0,0
2000,1,1720,Canada goose,11436.39,10907.93
2000,1,2210,American coot,0,0
2000,2,1320,Mallard,33736.5,6699.26
2000,2,1350,Gadwall,0,0
2000,2,1370,American wigeon,19983.75,3602.2
2000,2,1390,Green-winged teal,22644,6623.77
2000,2,1400,Blue-winged teal,0,0
2000,2,1420,Northern shoveler,13567.5,4291.11
2000,2,1430,Northern pintail,3765,2395.26
2000,2,1460,Redhead,0,0
2000,2,1470,Canvasback,0,0
2000,2,1499,Generic scaup,46683,8004.82
2000,2,1500,Ring-necked duck,3015,1319.98
2000,2,1519,Generic goldeneye,4332,2682.32
2000,2,1530,Bufflehead,6696,1803.32
2000,2,1670,Ruddy duck,0,0
2000,2,1720,Canada goose,1082.99,770.66
2000,2,2210,American coot,0,0
2000,3,1320,Mallard,117461.11,22967.91
2000,3,1350,Gadwall,428.36,442.15
2000,3,1370,American wigeon,146066.36,33450.86
2000,3,1390,Green-winged teal,140768.18,24379.28
2000,3,1400,Blue-winged teal,0,0
2000,3,1420,Northern shoveler,118011.36,40973.07
2000,3,1430,Northern pintail,93195.15,27294.94
2000,3,1460,Redhead,0,0
2000,3,1470,Canvasback,20886.95,12326.92
2000,3,1499,Generic scaup,120277.18,65088.88
2000,3,1500,Ring-necked duck,20392.36,7601
2000,3,1519,Generic goldeneye,14243.09,6109.47
2000,3,1530,Bufflehead,14808.13,6203.8
2000,3,1670,Ruddy duck,0,0
2000,3,1720,Canada goose,1424.29,830.48
2000,3,2210,American coot,0,0
2000,4,1320,Mallard,234709.65,34252.98
2000,4,1350,Gadwall,1641.6,1631.14
2000,4,1370,American wigeon,380895.75,61102.07
2000,4,1390,Green-winged teal,184615.2,35683.17
2000,4,1400,Blue-winged teal,0,0
2000,4,1420,Northern shoveler,428733,85537.79
2000,4,1430,Northern pintail,353759.4,81380.75
2000,4,1460,Redhead,0,0
2000,4,1470,Canvasback,129907.8,66489.88
